time,scenario,runoff_cfs
0.15,max_mcf,0
0.3,max_mcf,0
0.45,max_mcf,0
1,max_mcf,0
1.15,max_mcf,0
1.3,max_mcf,0
1.45,max_mcf,0
2,max_mcf,0
2.15,max_mcf,0
2.3,max_mcf,0
2.45,max_mcf,0
3,max_mcf,0
3.15,max_mcf,0.11
3.3,max_mcf,0.1
3.45,max_mcf,0.08
4,max_mcf,0.07
4.15,max_mcf,0.06
4.3,max_mcf,0.05
4.45,max_mcf,0.05
5,max_mcf,0.04
5.15,max_mcf,22.37
5.3,max_mcf,43.09
5.45,max_mcf,69.55
6,max_mcf,54.19
6.15,max_mcf,24
6.3,max_mcf,18.92
6.45,max_mcf,8.85
7,max_mcf,14.09
7.15,max_mcf,8.18
7.3,max_mcf,5.84
7.45,max_mcf,4.6
8,max_mcf,3.82
8.15,max_mcf,3.27
8.3,max_mcf,2.85
8.45,max_mcf,2.52
9,max_mcf,8.31
9.15,max_mcf,12.76
9.3,max_mcf,6.42
9.45,max_mcf,3.82
10,max_mcf,10.24
10.15,max_mcf,23.93
10.3,max_mcf,9.71
10.45,max_mcf,5
11,max_mcf,11.18
0.15,max_mcf_lid,0
0.3,max_mcf_lid,0
0.45,max_mcf_lid,0
1,max_mcf_lid,0
1.15,max_mcf_lid,0
1.3,max_mcf_lid,0
1.45,max_mcf_lid,0
2,max_mcf_lid,0
2.15,max_mcf_lid,0
2.3,max_mcf_lid,0
2.45,max_mcf_lid,0
3,max_mcf_lid,0
3.15,max_mcf_lid,0.11
3.3,max_mcf_lid,0.09
3.45,max_mcf_lid,0.07
4,max_mcf_lid,0.06
4.15,max_mcf_lid,0.05
4.3,max_mcf_lid,0.04
4.45,max_mcf_lid,0.04
5,max_mcf_lid,0.03
5.15,max_mcf_lid,18.31
5.3,max_mcf_lid,32.16
5.45,max_mcf_lid,54.1
6,max_mcf_lid,42.29
6.15,max_mcf_lid,17.26
6.3,max_mcf_lid,14.46
6.45,max_mcf_lid,6.81
7,max_mcf_lid,11.62
7.15,max_mcf_lid,6.85
7.3,max_mcf_lid,5.11
7.45,max_mcf_lid,4.18
8,max_mcf_lid,3.57
8.15,max_mcf_lid,3.13
8.3,max_mcf_lid,2.78
8.45,max_mcf_lid,2.49
9,max_mcf_lid,7.44
9.15,max_mcf_lid,11.77
9.3,max_mcf_lid,5.2
9.45,max_mcf_lid,3.11
10,max_mcf_lid,9.65
10.15,max_mcf_lid,21.71
10.3,max_mcf_lid,7.56
10.45,max_mcf_lid,3.89
11,max_mcf_lid,10.29
