time,scenario,runoff_cfs
0.15,min_mcf,0
0.3,min_mcf,0
0.45,min_mcf,0
1,min_mcf,0
1.15,min_mcf,0
1.3,min_mcf,0
1.45,min_mcf,0
2,min_mcf,0
2.15,min_mcf,0
2.3,min_mcf,0
2.45,min_mcf,0
3,min_mcf,0
3.15,min_mcf,0
3.3,min_mcf,0
3.45,min_mcf,0
4,min_mcf,0
4.15,min_mcf,0
4.3,min_mcf,0
4.45,min_mcf,0
5,min_mcf,0
5.15,min_mcf,0
5.3,min_mcf,1.93
5.45,min_mcf,7.94
6,min_mcf,8.38
6.15,min_mcf,4.77
6.3,min_mcf,3.42
6.45,min_mcf,1.87
7,min_mcf,1.99
7.15,min_mcf,1.21
7.3,min_mcf,0.8
7.45,min_mcf,0.56
8,min_mcf,0.41
8.15,min_mcf,0.31
8.3,min_mcf,0.24
8.45,min_mcf,0.19
9,min_mcf,0.7
9.15,min_mcf,1.19
9.3,min_mcf,0.79
9.45,min_mcf,0.55
10,min_mcf,1.07
10.15,min_mcf,1.47
10.3,min_mcf,0.94
10.45,min_mcf,0.64
11,min_mcf,2.01
0.15,min_mcf_lid,0
0.3,min_mcf_lid,0
0.45,min_mcf_lid,0
1,min_mcf_lid,0
1.15,min_mcf_lid,0
1.3,min_mcf_lid,0
1.45,min_mcf_lid,0
2,min_mcf_lid,0
2.15,min_mcf_lid,0
2.3,min_mcf_lid,0
2.45,min_mcf_lid,0
3,min_mcf_lid,0
3.15,min_mcf_lid,0
3.3,min_mcf_lid,0
3.45,min_mcf_lid,0
4,min_mcf_lid,0
4.15,min_mcf_lid,0
4.3,min_mcf_lid,0
4.45,min_mcf_lid,0
5,min_mcf_lid,0
5.15,min_mcf_lid,0
5.3,min_mcf_lid,1.75
5.45,min_mcf_lid,6.53
6,min_mcf_lid,6.3
6.15,min_mcf_lid,3.25
6.3,min_mcf_lid,2.29
6.45,min_mcf_lid,1.15
7,min_mcf_lid,1.34
7.15,min_mcf_lid,0.76
7.3,min_mcf_lid,0.48
7.45,min_mcf_lid,0.32
8,min_mcf_lid,0.23
8.15,min_mcf_lid,0.17
8.3,min_mcf_lid,0.13
8.45,min_mcf_lid,0.1
9,min_mcf_lid,0.52
9.15,min_mcf_lid,0.93
9.3,min_mcf_lid,0.56
9.45,min_mcf_lid,0.37
10,min_mcf_lid,0.8
10.15,min_mcf_lid,1.12
10.3,min_mcf_lid,0.66
10.45,min_mcf_lid,0.43
11,min_mcf_lid,1.57
