"","time","lid_type","runoff_cfs"
"1",0.15,"no_lid",0
"2",0.3,"no_lid",0
"3",0.45,"no_lid",0
"4",1,"no_lid",0
"5",1.15,"no_lid",0
"6",1.3,"no_lid",0
"7",1.45,"no_lid",0
"8",2,"no_lid",0
"9",2.15,"no_lid",0
"10",2.3,"no_lid",0
"11",2.45,"no_lid",0
"12",3,"no_lid",0
"13",3.15,"no_lid",0
"14",3.3,"no_lid",0
"15",3.45,"no_lid",0
"16",4,"no_lid",0
"17",4.15,"no_lid",0
"18",4.3,"no_lid",0
"19",4.45,"no_lid",0
"20",5,"no_lid",0
"21",5.15,"no_lid",4.36
"22",5.3,"no_lid",15.62
"23",5.45,"no_lid",28.56
"24",6,"no_lid",23.13
"25",6.15,"no_lid",10.57
"26",6.3,"no_lid",7.38
"27",6.45,"no_lid",3.32
"28",7,"no_lid",4.51
"29",7.15,"no_lid",2.38
"30",7.3,"no_lid",1.45
"31",7.45,"no_lid",0.98
"32",8,"no_lid",0.71
"33",8.15,"no_lid",0.54
"34",8.3,"no_lid",0.43
"35",8.45,"no_lid",0.35
"36",9,"no_lid",2.18
"37",9.15,"no_lid",3.85
"38",9.3,"no_lid",2.05
"39",9.45,"no_lid",1.2
"40",10,"no_lid",3.16
"41",10.15,"no_lid",4.63
"42",10.3,"no_lid",2.6
"43",10.45,"no_lid",1.69
"44",11,"no_lid",6.71
"45",0.15,"combined",0
"46",0.3,"combined",0
"47",0.45,"combined",0
"48",1,"combined",0
"49",1.15,"combined",0
"50",1.3,"combined",0
"51",1.45,"combined",0
"52",2,"combined",0
"53",2.15,"combined",0
"54",2.3,"combined",0
"55",2.45,"combined",0
"56",3,"combined",0
"57",3.15,"combined",0
"58",3.3,"combined",0
"59",3.45,"combined",0
"60",4,"combined",0
"61",4.15,"combined",0
"62",4.3,"combined",0
"63",4.45,"combined",0
"64",5,"combined",0
"65",5.15,"combined",3.99
"66",5.3,"combined",12.69
"67",5.45,"combined",21.86
"68",6,"combined",16.78
"69",6.15,"combined",7.04
"70",6.3,"combined",5
"71",6.45,"combined",2.03
"72",7,"combined",3.22
"73",7.15,"combined",1.57
"74",7.3,"combined",0.92
"75",7.45,"combined",0.61
"76",8,"combined",0.44
"77",8.15,"combined",0.34
"78",8.3,"combined",0.28
"79",8.45,"combined",0.23
"80",9,"combined",1.81
"81",9.15,"combined",3.14
"82",9.3,"combined",1.48
"83",9.45,"combined",0.8
"84",10,"combined",2.49
"85",10.15,"combined",3.68
"86",10.3,"combined",1.91
"87",10.45,"combined",1.22
"88",11,"combined",5.5
