time,lid_type,runoff_cfs
0.15,no_lid,0
0.3,no_lid,0
0.45,no_lid,0
1,no_lid,0
1.15,no_lid,0
1.3,no_lid,0
1.45,no_lid,0
2,no_lid,0
2.15,no_lid,0
2.3,no_lid,0
2.45,no_lid,0
3,no_lid,0
3.15,no_lid,0
3.3,no_lid,0
3.45,no_lid,0
4,no_lid,0
4.15,no_lid,0
4.3,no_lid,0
4.45,no_lid,0
5,no_lid,0
5.15,no_lid,4.36
5.3,no_lid,15.62
5.45,no_lid,28.56
6,no_lid,23.13
6.15,no_lid,10.57
6.3,no_lid,7.38
6.45,no_lid,3.32
7,no_lid,4.51
7.15,no_lid,2.38
7.3,no_lid,1.45
7.45,no_lid,0.98
8,no_lid,0.71
8.15,no_lid,0.54
8.3,no_lid,0.43
8.45,no_lid,0.35
9,no_lid,2.18
9.15,no_lid,3.85
9.3,no_lid,2.05
9.45,no_lid,1.2
10,no_lid,3.16
10.15,no_lid,4.63
10.3,no_lid,2.6
10.45,no_lid,1.69
11,no_lid,6.71
0.15,green_roof,0
0.3,green_roof,0
0.45,green_roof,0
1,green_roof,0
1.15,green_roof,0
1.3,green_roof,0
1.45,green_roof,0
2,green_roof,0
2.15,green_roof,0
2.3,green_roof,0
2.45,green_roof,0
3,green_roof,0
3.15,green_roof,0
3.3,green_roof,0
3.45,green_roof,0
4,green_roof,0
4.15,green_roof,0
4.3,green_roof,0
4.45,green_roof,0
5,green_roof,0
5.15,green_roof,4.24
5.3,green_roof,14.37
5.45,green_roof,25.49
6,green_roof,20.09
6.15,green_roof,8.8
6.3,green_roof,6.18
6.45,green_roof,2.65
7,green_roof,3.87
7.15,green_roof,1.96
7.3,green_roof,1.18
7.45,green_roof,0.79
8,green_roof,0.57
8.15,green_roof,0.43
8.3,green_roof,0.35
8.45,green_roof,0.29
9,green_roof,2.01
9.15,green_roof,3.53
9.3,green_roof,1.78
9.45,green_roof,1
10,green_roof,2.85
10.15,green_roof,4.19
10.3,green_roof,2.26
10.45,green_roof,1.46
11,green_roof,6.16
0.15,combined,0
0.3,combined,0
0.45,combined,0
1,combined,0
1.15,combined,0
1.3,combined,0
1.45,combined,0
2,combined,0
2.15,combined,0
2.3,combined,0
2.45,combined,0
3,combined,0
3.15,combined,0
3.3,combined,0
3.45,combined,0
4,combined,0
4.15,combined,0
4.3,combined,0
4.45,combined,0
5,combined,0
5.15,combined,3.99
5.3,combined,12.69
5.45,combined,21.86
6,combined,16.78
6.15,combined,7.04
6.3,combined,5
6.45,combined,2.03
7,combined,3.22
7.15,combined,1.57
7.3,combined,0.92
7.45,combined,0.61
8,combined,0.44
8.15,combined,0.34
8.3,combined,0.28
8.45,combined,0.23
9,combined,1.81
9.15,combined,3.14
9.3,combined,1.48
9.45,combined,0.8
10,combined,2.49
10.15,combined,3.68
10.3,combined,1.91
10.45,combined,1.22
11,combined,5.5
