dayofyear,pr
1950-01-01,0.36273715
1950-01-02,0.015070639
1950-01-03,0.037333146
1950-01-04,0.03132176
1950-01-05,0.011941778
1950-01-06,0.0017602297
1950-01-07,1.5501937e-24
1950-01-08,1.2966015e-05
1950-01-09,0.0036607024
1950-01-10,0.049919493
1950-01-11,0.0048469375
1950-01-12,0.00801935
1950-01-13,0.0015056129
1950-01-14,0.029726446
1950-01-15,8.17943e-05
1950-01-16,0.01509786
1950-01-17,0.009155666
1950-01-18,0.0181616
1950-01-19,0.12752286
1950-01-20,0.02629494
1950-01-21,0.031097196
1950-01-22,0.0076177944
1950-01-23,0.022281013
1950-01-24,0.016957585
1950-01-25,0.011592567
1950-01-26,0.0857637
1950-01-27,0.006003509
1950-01-28,0.0038058697
1950-01-29,0.009780919
1950-01-30,0.005563131
1950-01-31,0.32648748
1950-02-01,0.0022485112
1950-02-02,3.2943614
1950-02-03,0.9493097
1950-02-04,0.011943204
1950-02-05,1.2831831
1950-02-06,0.0049499297
1950-02-07,0.036446292
1950-02-08,0.0055844905
1950-02-09,0.014968886
1950-02-10,0.0021301487
1950-02-11,0.0012937565
1950-02-12,0.010709209
1950-02-13,0.027936233
1950-02-14,0.021613428
1950-02-15,0.20265105
1950-02-16,0.0444541
1950-02-17,0.049843002
1950-02-18,0.0025470187
1950-02-19,0.5168944
1950-02-20,0.57220316
1950-02-21,0.022396432
1950-02-22,0.39347643
1950-02-23,0.11839194
1950-02-24,2.0188177
1950-02-25,2.7118073
1950-02-26,1.960361
1950-02-27,1.1228289e-14
1950-02-28,1.8377434
1950-03-01,5.356649
1950-03-02,6.21207
1950-03-03,0.00818486
1950-03-04,1.6497114e-24
1950-03-05,0.006026884
1950-03-06,0.014100527
1950-03-07,0.021229617
1950-03-08,0.005621843
1950-03-09,12.364646
1950-03-10,1.2277385
1950-03-11,0.0037341588
1950-03-12,0.0014473388
1950-03-13,0.016875628
1950-03-14,0.033711243
1950-03-15,1.2030734
1950-03-16,1.2313198
1950-03-17,0.060765598
1950-03-18,0.00991322
1950-03-19,0.05500186
1950-03-20,0.020440185
1950-03-21,0.0028110647
1950-03-22,0.0042390865
1950-03-23,0.013338406
1950-03-24,3.5147987e-05
1950-03-25,0.05701784
1950-03-26,0.01378943
1950-03-27,3.7352047
1950-03-28,0.7255148
1950-03-29,0.0071522254
1950-03-30,0.021511424
1950-03-31,0.0033557476
1950-04-01,0.0012972188
1950-04-02,0.04168603
1950-04-03,0.0045743687
1950-04-04,0.009690875
1950-04-05,0.15490477
1950-04-06,0.12786406
1950-04-07,0.03101027
1950-04-08,0.0037581637
1950-04-09,0.0062787137
1950-04-10,0.008002476
1950-04-11,0.0009285821
1950-04-12,0.002820196
1950-04-13,0.015232679
1950-04-14,0.024644537
1950-04-15,0.14988934
1950-04-16,0.38581404
1950-04-17,0.1544302
1950-04-18,0.1264445
1950-04-19,0.0020791253
1950-04-20,0.05855108
1950-04-21,0.078550175
1950-04-22,0.004911214
1950-04-23,0.262691
1950-04-24,0.10296179
