"","subcatchment","Curve_Number","Slope","percent_imp","Area_sqft","total_precip_in","total_runon_in","total_evap_in","total_infil_in","imperv_runoff_in","perv_runoff_in","total_runoff_in","total_runoff_10_6_gal","peak_runoff_cfs","runoff_coeff","runoff_normalized","Urbanization_level"
"1",1,50.27226696,28.12488788,0,8242850.541,13.21,0,0,4.09,0,4.42,4.42,22.72,205.43,0.335,5.36222266558745e-07,"Natural (less than 15 % Impervious)"
"2",2,55.31557618,36.40935203,0.000927115,11211635.15,13.21,3.2,0,3.34,0,6.22,6.22,43.46,350.27,0.379,5.54780807329429e-07,"Natural (less than 15 % Impervious)"
"3",3,61.06273397,33.94600956,0,13733857.72,13.21,0,0,2.51,0,4.56,4.56,39.07,330.19,0.345,3.32026157032301e-07,"Natural (less than 15 % Impervious)"
"4",4,60.82817617,20.19128626,38.51763637,244206.8928,5.94,0,0,1.32,2.22,1.86,4.08,0.62,16.46,0.687,1.67071451309993e-05,"Urbanized (Between 15 and 45 % Impervious)"
"5",5,59.94459387,4.973907902,59.22528719,42008.07262,5.94,0,0,0.91,3.43,1.38,4.81,0.13,4.51,0.809,0.000114501801677756,"Very urbanized (More than 45 % Impervious)"
"6",6,39.1463619,0,58.53240322,233227.5612,5.94,0,0,1.69,0,0,0,0,0,0,0,"Very urbanized (More than 45 % Impervious)"
"7",7,62.46734994,24.37085007,14.10178763,2174275.191,5.94,0,0,1.69,0.81,2.08,2.89,3.91,56.98,0.486,1.32917857498564e-06,"Natural (less than 15 % Impervious)"
"8",8,43.75794125,3.156830956,46.87794523,155360.1987,5.94,0,0,1.96,2.7,0.97,3.67,0.36,11.11,0.618,2.36225238555903e-05,"Very urbanized (More than 45 % Impervious)"
"9",9,64.92769033,34.31882952,1.783702012,883743.9176,5.94,0,0,1.7,0.1,3.11,3.21,1.77,34.73,0.541,3.63227393826648e-06,"Natural (less than 15 % Impervious)"
"10",10,59.50282392,13.03499906,46.82731603,527259.4977,5.94,0,0,1.21,2.69,1.54,4.23,1.39,38.42,0.712,8.02261508508053e-06,"Very urbanized (More than 45 % Impervious)"
"11",11,55.59506349,0.94758568,60.17684089,1461121.289,5.94,0,0,1.06,3.3,0.86,4.16,3.79,105.54,0.7,2.84712845628793e-06,"Very urbanized (More than 45 % Impervious)"
"12",12,62.92827145,18.41688055,28.88469268,277490.0101,5.94,0,0,1.37,1.67,2.26,3.93,0.68,16.38,0.661,1.4162672013251e-05,"Urbanized (Between 15 and 45 % Impervious)"
