"","subcatchment","Curve_Number","Slope","percent_imp","Area_sqft","total_precip_in","total_runon_in","total_evap_in","total_infil_in","imperv_runoff_in","perv_runoff_in","total_runoff_in","total_runoff_10_6_gal","peak_runoff_cfs","runoff_coeff","runoff_normalized","Urbanization_level"
"1",1,50.27226696,28.12488788,0,8242850.541,2.49,0,0,1.75,0,0.02,0.02,0.13,2.91,0.01,2.42634509755088e-09,"Natural (less than 15 % Impervious)"
"2",2,55.31557618,36.40935203,0.000927115,11211635.15,2.49,0.02,0,1.6,0,0.04,0.04,0.3,5.6,0.017,3.56772223362977e-09,"Natural (less than 15 % Impervious)"
"3",3,61.06273397,33.94600956,0,13733857.72,2.49,0,0,1.38,0,0.06,0.06,0.56,8.51,0.026,4.36876522410922e-09,"Natural (less than 15 % Impervious)"
"4",4,60.82817617,20.19128626,38.51763637,244206.8928,1.08,0,0,0.49,0.33,0,0.33,0.05,2.09,0.309,1.35131320912495e-06,"Urbanized (Between 15 and 45 % Impervious)"
"5",5,59.94459387,4.973907902,59.22528719,42008.07262,1.08,0,0,0.33,0.53,0,0.53,0.01,0.55,0.489,1.26166226380895e-05,"Very urbanized (More than 45 % Impervious)"
"6",6,39.1463619,0,58.53240322,233227.5612,1.08,0,0,0.41,0,0,0,0,0,0,0,"Very urbanized (More than 45 % Impervious)"
"7",7,62.46734994,24.37085007,14.10178763,2174275.191,1.08,0,0,0.67,0.12,0,0.12,0.16,6.79,0.112,5.51908058817565e-08,"Natural (less than 15 % Impervious)"
"8",8,43.75794125,3.156830956,46.87794523,155360.1987,1.08,0,0,0.51,0.41,0,0.41,0.04,1.62,0.376,2.63902855062453e-06,"Very urbanized (More than 45 % Impervious)"
"9",9,64.92769033,34.31882952,1.783702012,883743.9176,1.08,0,0,0.72,0.02,0,0.02,0.01,0.35,0.016,2.26309902695731e-08,"Natural (less than 15 % Impervious)"
"10",10,59.50282392,13.03499906,46.82731603,527259.4977,1.08,0,0,0.44,0.4,0,0.4,0.13,5.46,0.372,7.58639724357497e-07,"Very urbanized (More than 45 % Impervious)"
"11",11,55.59506349,0.94758568,60.17684089,1461121.289,1.08,0,0,0.35,0.46,0,0.46,0.42,11.91,0.426,3.14826704301069e-07,"Very urbanized (More than 45 % Impervious)"
"12",12,62.92827145,18.41688055,28.88469268,277490.0101,1.08,0,0,0.55,0.25,0,0.25,0.04,1.78,0.233,9.00933334176271e-07,"Urbanized (Between 15 and 45 % Impervious)"
"13",13,37.24906666,2.801558317,60.72206092,210147.7983,1.08,0,0,0.39,0.51,0,0.51,0.07,2.77,0.473,2.42686339864451e-06,"Very urbanized (More than 45 % Impervious)"
"14",14,59.93119871,10.06220211,51.97367076,244581.3896,1.08,0,0,0.39,0.45,0,0.45,0.07,2.82,0.416,1.83987833553465e-06,"Very urbanized (More than 45 % Impervious)"
"15",15,40.48688745,0.780762234,53.68409461,191335.255,1.08,0,0,0.45,0.45,0,0.45,0.05,2.22,0.417,2.35189275494472e-06,"Very urbanized (More than 45 % Impervious)"
"16",16,59.46640066,25.49224019,29.72936196,255938.12,1.08,0,0,0.58,0.26,0,0.26,0.04,1.69,0.241,1.01587055496071e-06,"Urbanized (Between 15 and 45 % Impervious)"
"17",17,58.35095289,10.78205321,48.09130146,245110.0632,1.08,0,0,0.43,0.41,0,0.41,0.06,2.61,0.384,1.67271794004417e-06,"Very urbanized (More than 45 % Impervious)"
"18",18,59.57713747,17.3274096,41.48075899,294312.6694,1.08,0,0,0.48,0.36,0,0.36,0.07,2.71,0.332,1.22318893282411e-06,"Urbanized (Between 15 and 45 % Impervious)"
